Field name,Description
AC_YEAR,AC_YEAR: AC_YEAR
STATCD,Data Reported from: Data Reported from
STATNAME,Data Reported from: Data Reported from
DISTRICTS,Data Reported from: Data Reported from
BLOCKS,Data Reported from: Data Reported from
VILLAGES,Data Reported from: Data Reported from
CLUSTERS,Data Reported from: Data Reported from
TOTPOPULAT,Basic data from Census 2011: Total Population(in 1000's)
P_URB_POP,Basic data from Census 2011: Percentage Urban Population
POPULATION_0_6,Basic data from Census 2011: Percentage Population of Age Group 0-6
GROWTHRATE,Basic data from Census 2011: Growth Rate
SEXRATIO,Basic data from Census 2011: Sex Ratio
P_SC_POP,Basic data from Census 2011: Percentage SC Population
P_ST_POP,Basic data from Census 2011: Percentage ST Population
OVERALL_LI,Basic data from Census 2011: Literacy Rate
FEMALE_LIT,Basic data from Census 2011: Female Literacy Rate
MALE_LIT,Basic data from Census 2011: Male Literacy Rate
AREA_SQKM,Basic data from Census 2011: Area (Sq. KM)
TOT_6_10_15,Projected Population : Age Group 6 to 10
TOT_11_13_15,Projected Population : Age Group 11 to 13
SCH1,Schools By Category: Primary Only
SCH2,Schools By Category: Primary with Upper Primary
SCH3,Schools By Category: Primary with upper Primary Sec/H.Sec
SCH4,Schools By Category: Upper Primary Only
SCH5,Schools By Category: Upper Primary with Sec./H.Sec
SCH6,Schools By Category: Primary with upper Primary Sec
SCH7,Schools By Category: Upper Primary with  Sec.
SCH9,Schools By Category: No Response
SCHTOT,Schools By Category: Total
SCH1G,Schools by Category: Government: Primary Only
SCH2G,Schools by Category: Government: Primary with Upper Primary
SCH3G,Schools by Category: Government: Primary with upper Primary Sec/H.Sec
SCH4G,Schools by Category: Government: Upper Primary Only
SCH5G,Schools by Category: Government: Upper Primary with Sec./H.Sec
SCH6G,Schools by Category: Government: Primary with upper Primary Sec
SCH7G,Schools by Category: Government: Upper Primary with  Sec.
SCH9G,Schools by Category: Government: No Response
SCHTOTG,Schools by Category: Government: Total
SCH1P,Schools by Category: Private : Primary Only
SCH2P,Schools by Category: Private : Primary with Upper Primary
SCH3P,Schools by Category: Private : Primary with upper Primary Sec/H.Sec
SCH4P,Schools by Category: Private : Upper Primary Only
SCH5P,Schools by Category: Private : Upper Primary with Sec./H.Sec
SCH6P,Schools by Category: Private : Primary with upper Primary Sec
SCH7P,Schools by Category: Private : Upper Primary with  Sec.
SCH9P,Schools by Category: Private : No Response
SCHTOTP,Schools by Category: Private : Total
SCH1M,Schools by Category: Madarsas & Unrecognised: Primary Only
SCH2M,Schools by Category: Madarsas & Unrecognised: Primary with Upper Primary
SCH3M,Schools by Category: Madarsas & Unrecognised: Primary with upper Primary Sec/H.Sec
SCH4M,Schools by Category: Madarsas & Unrecognised: Upper Primary Only
SCH5M,Schools by Category: Madarsas & Unrecognised: Upper Primary with Sec./H.Sec
SCH6M,Schools by Category: Madarsas & Unrecognised: Primary with upper Primary Sec
SCH7M,Schools by Category: Madarsas & Unrecognised: Upper Primary with  Sec.
SCH9M,Schools by Category: Madarsas & Unrecognised: No Response
SCHTOTM,Schools by Category: Madarsas & Unrecognised: Total
SCH1GR,Government Schools by Category - Rural: Primary Only
SCH2GR,Government Schools by Category - Rural: Primary with Upper Primary
SCH3GR,Government Schools by Category - Rural: Primary with upper Primary Sec/H.Sec
SCH4GR,Government Schools by Category - Rural: Upper Primary Only
SCH5GR,Government Schools by Category - Rural: Upper Primary with Sec./H.Sec
SCH6GR,Government Schools by Category - Rural: Primary with upper Primary Sec
SCH7GR,Government Schools by Category - Rural: Upper Primary with  Sec.
SCH9GR,Government Schools by Category - Rural: No Response
SCHTOTGR,Government Schools by Category - Rural: Total
SCH1GA,Schools by Category: Government & Aided : Primary Only
SCH2GA,Schools by Category: Government & Aided : Primary with Upper Primary
SCH3GA,Schools by Category: Government & Aided : Primary with upper Primary Sec/H.Sec
SCH4GA,Schools by Category: Government & Aided : Upper Primary Only
SCH5GA,Schools by Category: Government & Aided : Upper Primary with Sec./H.Sec
SCH6GA,Schools by Category: Government & Aided : Primary with upper Primary Sec
SCH7GA,Schools by Category: Government & Aided : Upper Primary with  Sec.
SCH9GA,Schools by Category: Government & Aided : No Response
SCHTOTGA,Schools by Category: Government & Aided : Total
SCH1PR,Private Schools by Category - Rural: Primary Only
SCH2PR,Private Schools by Category - Rural: Primary with Upper Primary
SCH3PR,Private Schools by Category - Rural: Primary with upper Primary Sec/H.Sec
SCH4PR,Private Schools by Category - Rural: Upper Primary Only
SCH5PR,Private Schools by Category - Rural: Upper Primary with Sec./H.Sec
SCH6PR,Private Schools by Category - Rural: Primary with upper Primary Sec
SCH7PR,Private Schools by Category - Rural: Upper Primary with  Sec.
SCH9PR,Private Schools by Category - Rural: No Response
SCHTOTPR,Private Schools by Category - Rural: Total
SCHBOY1,Schools by Category: Boys Only: Primary Only
SCHBOY2,Schools by Category: Boys Only: Primary with Upper Primary
SCHBOY3,Schools by Category: Boys Only: Primary with upper Primary Sec/H.Sec
SCHBOY4,Schools by Category: Boys Only: Upper Primary Only
SCHBOY5,Schools by Category: Boys Only: Upper Primary with Sec./H.Sec
SCHBOY6,Schools by Category: Boys Only: Primary with upper Primary Sec
SCHBOY7,Schools by Category: Boys Only: Upper Primary with  Sec.
SCHBOY9,Schools by Category: Boys Only: No Response
SCHBOYTOT,Schools by Category: Boys Only: Total
SCHGIR1,Schools by Category: Girls Only: Primary Only
SCHGIR2,Schools by Category: Girls Only: Primary with Upper Primary
SCHGIR3,Schools by Category: Girls Only: Primary with upper Primary Sec/H.Sec
SCHGIR4,Schools by Category: Girls Only: Upper Primary Only
SCHGIR5,Schools by Category: Girls Only: Upper Primary with Sec./H.Sec
SCHGIR6,Schools by Category: Girls Only: Primary with upper Primary Sec
SCHGIR7,Schools by Category: Girls Only: Upper Primary with  Sec.
SCHGIR9,Schools by Category: Girls Only: No Response
