Field name,Description
statcd,State code
ac_year,Academic year
statname,State name
area_sqkm,Area
tot_population,Total Population
urban_population,Urban Population 
grwoth_rate,Growth Rate
sexratio,Sex Ratio
sc_population,% SC Population
st_population,% St Population
literacy_rate,literacy rate
male_literacy_rate,literacy rate- Male
female_literacy_rate,literacy rate- Female
distcd,Districts: Districts
blkcd,Blocks: Blocks
villages,Villages: Villages
clusters,clusters: clusters
schools,schools: schools
sch_1,Number of Schools: Primary with upper primary and secondary and higher secondary
sch_2,Number of Schools: Upper Primary with secondary and higher secondary
sch_3,Number of Schools: Primary with upper primary and secondary
sch_4,Number of Schools: Upper Primary with secondary
sch_5,Number of Schools: Secondary only
sch_6,Number of Schools: Secondary with Hr. Secondary
sch_7,Number of Schools: Hr. Secondary only
sch_r_1,Number of Schools- Rural: Primary with upper primary and secondary and higher secondary
sch_r_2,Number of Schools- Rural: Upper Primary with secondary and higher secondary
sch_r_3,Number of Schools- Rural: Primary with upper primary and secondary
sch_r_4,Number of Schools- Rural: Upper Primary with secondary
sch_r_5,Number of Schools- Rural: Secondary only
sch_r_6,Number of Schools- Rural: Secondary with Hr. Secondary
sch_r_7,Number of Schools- Rural: Hr. Secondary only
sch_u_1,Number of Schools- Urban: Primary with upper primary and secondary and higher secondary
sch_u_2,Number of Schools- Urban: Upper Primary with secondary and higher secondary
sch_u_3,Number of Schools- Urban: Primary with upper primary and secondary
sch_u_4,Number of Schools- Urban: Upper Primary with secondary
sch_u_5,Number of Schools- Urban: Secondary only
sch_u_6,Number of Schools- Urban: Secondary with Hr. Secondary
sch_u_7,Number of Schools- Urban: Hr. Secondary only
enr_1,Enrolment by school category: Primary with upper primary and secondary and higher secondary
enr_2,Enrolment by school category: Upper Primary with secondary and higher secondary
enr_3,Enrolment by school category: Primary with upper primary and secondary
enr_4,Enrolment by school category: Upper Primary with secondary
enr_5,Enrolment by school category: Secondary only
enr_6,Enrolment by school category: Secondary with Hr. Secondary
enr_7,Enrolment by school category: Hr. Secondary only
enr_all,Enrolment by school category: All Schools
enr_r_1,Enrolment by school category- Rural: Primary with upper primary and secondary and higher secondary
enr_r_2,Enrolment by school category- Rural: Upper Primary with secondary and higher secondary
enr_r_3,Enrolment by school category- Rural: Primary with upper primary and secondary
enr_r_4,Enrolment by school category- Rural: Upper Primary with secondary
enr_r_5,Enrolment by school category- Rural: Secondary only
enr_r_6,Enrolment by school category- Rural: Secondary with Hr. Secondary
enr_r_7,Enrolment by school category- Rural: Hr. Secondary only
enr_r_all,Enrolment by school category- Rural: All Schools
enr_u_1,Enrolment by school category- Urban: Primary with upper primary and secondary and higher secondary
enr_u_2,Enrolment by school category- Urban: Upper Primary with secondary and higher secondary
enr_u_3,Enrolment by school category- Urban: Primary with upper primary and secondary
enr_u_4,Enrolment by school category- Urban: Upper Primary with secondary
enr_u_5,Enrolment by school category- Urban: Secondary only
enr_u_6,Enrolment by school category- Urban: Secondary with Hr. Secondary
enr_u_7,Enrolment by school category- Urban: Hr. Secondary only
enr_u_all,Enrolment by school category- Urban: All Schools
tch_1,Teachers by school category: Primary with upper primary and secondary and higher secondary
tch_2,Teachers by school category: Upper Primary with secondary and higher secondary
tch_3,Teachers by school category: Primary with upper primary and secondary
tch_4,Teachers by school category: Upper Primary with secondary
tch_5,Teachers by school category: Secondary only
tch_6,Teachers by school category: Secondary with Hr. Secondary
tch_7,Teachers by school category: Hr. Secondary only
tch_all,Teachers by school category: All Schools
tch_r_1,Teachers by school category- Rural: Primary with upper primary and secondary and higher secondary
tch_r_2,Teachers by school category- Rural: Upper Primary with secondary and higher secondary
tch_r_3,Teachers by school category- Rural: Primary with upper primary and secondary
tch_r_4,Teachers by school category- Rural: Upper Primary with secondary
tch_r_5,Teachers by school category- Rural: Secondary only
tch_r_6,Teachers by school category- Rural: Secondary with Hr. Secondary
tch_r_7,Teachers by school category- Rural: Hr. Secondary only
tch_r_all,Teachers by school category- Rural: All Schools
tch_u_1,Teachers by school category- Urban: Primary with upper primary and secondary and higher secondary
tch_u_2,Teachers by school category- Urban: Upper Primary with secondary and higher secondary
